3

v02 a00 v00
-160.0 0.0 0.0
-256.0 0.0 0.0
-63.0 0.0 0.0
-139.0 0.0 0.0
-142.0 0.0 0.0
-60.0 0.0 0.0
-191.0 0.0 0.0
-90.0 0.0 0.0
-385.0 0.0 0.0
-163.0 0.0 0.0
-67.0 0.0 0.0
-455.0 0.0 0.0
6.0 0.0 0.0
-65.0 0.0 0.0
-170.0 0.0 0.0
-155.0 0.0 0.0
-170.0 0.0 0.0
-192.0 0.0 0.0
-260.0 0.0 0.0
-52.0 0.0 0.0
-117.0 0.0 0.0
-208.0 0.0 0.0
-162.0 0.0 0.0
-106.0 0.0 0.0
-207.0 0.0 0.0
-94.0 0.0 0.0
-180.0 0.0 0.0
-122.0 0.0 0.0
-189.0 0.0 0.0
-249.0 0.0 0.0
-90.0 0.0 0.0
-174.0 0.0 0.0
-105.0 0.0 0.0
-81.0 0.0 0.0
-316.0 0.0 0.0
-148.0 0.0 0.0
